Product Name,Color,Product URL,Unique Color ID,Price Before,Price After
Riah Silk Dress,Aquamarine,https://www.thereformation.com/products/riah-silk-dress/1315038NVY.html?dwvar_1315038NVY_color=AQM,A17U1M1R9N5,$428,$128.40
Riah Silk Dress,Navy,https://www.thereformation.com/products/riah-silk-dress/1315038NVY.html?dwvar_1315038NVY_color=NVY,N1V25,$428,$128.40
Laken Dress,Freddie,https://www.thereformation.com/products/laken-dress/1313680FFF.html?dwvar_1313680FFF_color=FFF,F18E4D9E,$248,$74.40
Laken Dress,Leo,https://www.thereformation.com/products/laken-dress/1313680FFF.html?dwvar_1313680FFF_color=LEE,L5O,$248,$74.40
Laken Dress,Verdigris,https://www.thereformation.com/products/laken-dress/1313680FFF.html?dwvar_1313680FFF_color=VDR,V5R4I7R9S,$248,$74.40
Belva Silk Dress,Fior Di Latte,https://www.thereformation.com/products/belva-silk-dress/1313943FDL.html?dwvar_1313943FDL_color=FDL,F9O18D9L1T20,$278,$139
Belva Silk Dress,Sangre,https://www.thereformation.com/products/belva-silk-dress/1313943FDL.html?dwvar_1313943FDL_color=SNG,S1N7R5,$278,$139
Isabeli Linen Dress,Black,https://www.thereformation.com/products/isabeli-linen-dress/1314874WHT.html?dwvar_1314874WHT_color=BLK,B12A3K,$218,$109
Isabeli Linen Dress,Ginger,https://www.thereformation.com/products/isabeli-linen-dress/1314874WHT.html?dwvar_1314874WHT_color=GGR,G9N7E18,$218,$109
Isabeli Linen Dress,Parmesan,https://www.thereformation.com/products/isabeli-linen-dress/1314874WHT.html?dwvar_1314874WHT_color=PMN,P1R13E19A14,$218,$109
Isabeli Linen Dress,White,https://www.thereformation.com/products/isabeli-linen-dress/1314874WHT.html?dwvar_1314874WHT_color=WHT,W8I20E,$218,$109
Ethan Twill Pant,Black,https://www.thereformation.com/products/ethan-twill-pant/1312654SLA.html?dwvar_1312654SLA_color=BLK,B12A3K,$198,$99
Ethan Twill Pant,Olive Oil,https://www.thereformation.com/products/ethan-twill-pant/1312654SLA.html?dwvar_1312654SLA_color=OLI,O12I22E15I12,$198,$99
Ethan Twill Pant,Slate,https://www.thereformation.com/products/ethan-twill-pant/1312654SLA.html?dwvar_1312654SLA_color=SLA,S12A20E,$198,$99
Santana Linen Two Piece,Cherry,https://www.thereformation.com/products/santana-linen-two-piece/1314997DCY.html?dwvar_1314997DCY_color=CHR,C8E18R25,$278,$139
Santana Linen Two Piece,Delicacy,https://www.thereformation.com/products/santana-linen-two-piece/1314997DCY.html?dwvar_1314997DCY_color=DCY,D5L9C1C25,$278,$139
Wilder High Rise Relaxed Jean Shorts,Atwood,https://www.thereformation.com/products/wilder-high-rise-relaxed-jean-shorts/1312142FDL.html?dwvar_1312142FDL_color=ATW,A20W15O4,$128,$64
Wilder High Rise Relaxed Jean Shorts,Donner,https://www.thereformation.com/products/wilder-high-rise-relaxed-jean-shorts/1312142FDL.html?dwvar_1312142FDL_color=DNN,D15N14E18,$128,$64
Wilder High Rise Relaxed Jean Shorts,Lethe,https://www.thereformation.com/products/wilder-high-rise-relaxed-jean-shorts/1312142FDL.html?dwvar_1312142FDL_color=EHT,L5T8E,$128,$64
Wilder High Rise Relaxed Jean Shorts,Fior Di Latte,https://www.thereformation.com/products/wilder-high-rise-relaxed-jean-shorts/1312142FDL.html?dwvar_1312142FDL_color=FDL,F9O18D9L1T20,$128,$64
Wilder High Rise Relaxed Jean Shorts,Galway,https://www.thereformation.com/products/wilder-high-rise-relaxed-jean-shorts/1312142FDL.html?dwvar_1312142FDL_color=GWY,G1L23A25,$128,$64
Wilder High Rise Relaxed Jean Shorts,Vana,https://www.thereformation.com/products/wilder-high-rise-relaxed-jean-shorts/1312142FDL.html?dwvar_1312142FDL_color=VVA,V1N1,$128,$64
Beyonca Knit Dress,Au Naturale,https://www.thereformation.com/products/beyonca-knit-dress/1312705HNH.html?dwvar_1312705HNH_color=AUN,A21N1T21R1L5,$178,$53.40
Beyonca Knit Dress,Hannah,https://www.thereformation.com/products/beyonca-knit-dress/1312705HNH.html?dwvar_1312705HNH_color=HNH,H1N14A8,$178,$53.40
Tillie Linen Short,Black,https://www.thereformation.com/products/tillie-linen-short/1315715TCS.html?dwvar_1315715TCS_color=BLK,B12A3K,$98,$49
Tillie Linen Short,Slate Check,https://www.thereformation.com/products/tillie-linen-short/1315715TCS.html?dwvar_1315715TCS_color=STC,S12A20E3H5C11,$98,$49
