Product Name,Product URL,Scraped Image URL
Tweed crop top,https://us.sandro-paris.com/en/p/tweed-crop-top/MFPVE00548_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw267dda00/images/hi-res/Maje_MFPVE00548-0101_H_1.jpg?sw=720&sh=955
Crochet-knit shorts,https://us.sandro-paris.com/en/p/crochet-knit-shorts/MFPSH00551_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1537f649/images/hi-res/Maje_MFPSH00551-0101_H_1.jpg?sw=720&sh=955
Patterned linen wrap dress,https://us.sandro-paris.com/en/p/patterned-linen-wrap-dress/MFPRO03706_F046.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw85ebd383/images/hi-res/Maje_MFPRO03706-F046_H_1.jpg?sw=720&sh=955
Patterned ruffled crop top,https://us.sandro-paris.com/en/p/patterned-ruffled-crop-top/MFPTO01014_F046.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1ec4a985/images/hi-res/Maje_MFPTO01014-F046_H_1.jpg?sw=720&sh=955
Short embroidered skirt,https://us.sandro-paris.com/en/p/short-embroidered-skirt/MFPJU01255_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2f5a3434/images/hi-res/Maje_MFPJU01255-10_H_1.jpg?sw=720&sh=955
Cutaway silk maxi dress,https://us.sandro-paris.com/en/p/cutaway-silk-maxi-dress/MFPRO03642_F045.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw89f04f12/images/hi-res/Maje_MFPRO03642-F045_H_1.jpg?sw=720&sh=955
Long stripy shirt,https://us.sandro-paris.com/en/p/long-stripy-shirt/MFPCM00532_0183.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6598410a/images/hi-res/Maje_MFPCM00532-0183_H_1.jpg?sw=720&sh=955
Tweed playsuit with rhinestones,https://us.sandro-paris.com/en/p/tweed-playsuit-with-rhinestones/MFPCO00317_0856.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf8481df9/images/hi-res/Maje_MFPCO00317-0856_H_1.jpg?sw=720&sh=955
Asymmetrical top,https://us.sandro-paris.com/en/p/asymmetrical-top/MFPTO01020_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dweb226513/images/hi-res/Maje_MFPTO01020-10_H_1.jpg?sw=720&sh=955
Satin-look maxi dress,https://us.sandro-paris.com/en/p/satin-look-maxi-dress/MFPRO03466_0183.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw867d7d77/images/hi-res/Maje_MFPRO03466-0183_H_1.jpg?sw=720&sh=955
Silk shirt,https://us.sandro-paris.com/en/p/silk-shirt/MFPCM00562_F045.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwbba0db88/images/hi-res/Maje_MFPCM00562-F045_H_1.jpg?sw=720&sh=955
Silk trousers,https://us.sandro-paris.com/en/p/silk-trousers/MFPPA00631_F045.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw427fbf9e/images/hi-res/Maje_MFPPA00631-F045_H_1.jpg?sw=720&sh=955
Backless dress,https://us.sandro-paris.com/en/p/backless-dress/MFPRO03651_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwaa29fb9e/images/hi-res/Maje_MFPRO03651-10_H_1.jpg?sw=720&sh=955
Jacquard skirt-effect shorts,https://us.sandro-paris.com/en/p/jacquard-skirt-effect-shorts/MFPSH00529_0183.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw44ffb6b5/images/hi-res/Maje_MFPSH00529-0183_H_1.jpg?sw=720&sh=955
Ramie cropped shirt,https://us.sandro-paris.com/en/p/ramie-cropped-shirt/MFPCM00535_0183.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw501ad218/images/hi-res/Maje_MFPCM00535-0183_H_1.jpg?sw=720&sh=955
Jacquard knit skirt,https://us.sandro-paris.com/en/p/jacquard-knit-skirt/MFPJU01135_0856.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe4499d92/images/hi-res/Maje_MFPJU01135-0856_H_1.jpg?sw=720&sh=955
Denim and tweed cropped jacket,https://us.sandro-paris.com/en/p/denim-and-tweed-cropped-jacket/MFPBL00687_F024.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw46c50564/images/hi-res/Maje_MFPBL00687-F024_H_1.jpg?sw=720&sh=955
Crochet-knit maxi dress,https://us.sandro-paris.com/en/p/crochet-knit-maxi-dress/MFPRO03609_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw3ae67445/images/hi-res/Maje_MFPRO03609-10_H_1.jpg?sw=720&sh=955
Wide-leg tweed trousers,https://us.sandro-paris.com/en/p/wide-leg-tweed-trousers/MFPPA00582_F017.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw37ab952a/images/hi-res/Maje_MFPPA00582-F017_H_1.jpg?sw=720&sh=955
Short tweed jacket,https://us.sandro-paris.com/en/p/short-tweed-jacket/MFPVE00516_F017.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1b824d1c/images/hi-res/Maje_MFPVE00516-F017_H_1.jpg?sw=720&sh=955
Satin-look patterned maxi dress,https://us.sandro-paris.com/en/p/satin-look-patterned-maxi-dress/MFPRO03465_F043.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw55310f75/images/hi-res/Maje_MFPRO03465-F043_H_1.jpg?sw=720&sh=955
Cropped knit jumper with drawstring,https://us.sandro-paris.com/en/p/cropped-knit-jumper-with-drawstring/MFPPU00766_0856.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwff57df5d/images/hi-res/Maje_MFPPU00766-0856_H_1.jpg?sw=720&sh=955
Dual-material print T-shirt,https://us.sandro-paris.com/en/p/dual-material-print-t-shirt/MFPTS00882_M005.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwcc428396/images/hi-res/Maje_MFPTS00882-M005_H_1.jpg?sw=720&sh=955
Draped lace dress,https://us.sandro-paris.com/en/p/draped-lace-dress/MFPRO03566_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6f0353f0/images/hi-res/Maje_MFPRO03566-0101_H_1.jpg?sw=720&sh=955
Asymmetrical top,https://us.sandro-paris.com/en/p/asymmetrical-top/MFPTO01012_F035.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw68268efa/images/hi-res/Maje_MFPTO01012-F035_H_1.jpg?sw=720&sh=955
Long satin-effect crinkle skirt,https://us.sandro-paris.com/en/p/long-satin-effect-crinkle-skirt/MFPJU01251_F035.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw455043a0/images/hi-res/Maje_MFPJU01251-F035_H_1.jpg?sw=720&sh=955
Asymmetrical linen dress,https://us.sandro-paris.com/en/p/asymmetrical-linen-dress/MFPRO03569_0183.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2e918a0b/images/hi-res/Maje_MFPRO03569-0183_H_1.jpg?sw=720&sh=955
